Gene loci,Bprom,DeepTFactor
BPSL0001, Number of predicted promoters -1,False
BPSL0002, Number of predicted promoters -2,False
BPSL0003, Number of predicted promoters -1,False
BPSL0004, Number of predicted promoters -1,False
BPSL0005, Number of predicted promoters -0,False
BPSL0006, Number of predicted promoters -1,False
BPSL0007, Number of predicted promoters -2,False
BPSL0008, Number of predicted promoters -0,False
BPSL0009, Number of predicted promoters -1,False
BPSL0010, Number of predicted promoters -1,False
BPSL0011, Number of predicted promoters -1,False
BPSL0012, Number of predicted promoters -1,False
BPSL0013, Number of predicted promoters -0,False
BPSL0014, Number of predicted promoters -1,False
BPSL0015, Number of predicted promoters -0,False
BPSL0016, Number of predicted promoters -0,False
BPSL0017, Number of predicted promoters -0,False
BPSL0018, Number of predicted promoters -0,False
BPSL0019, Number of predicted promoters -1,False
BPSL0020, Number of predicted promoters -0,False
BPSL0021, Number of predicted promoters -1,True
BPSL0022, Number of predicted promoters -2,False
BPSL0023, Number of predicted promoters -1,True
BPSL0024, Number of predicted promoters -1,False
BPSL0025, Number of predicted promoters -1,False
BPSL0026, Number of predicted promoters -1,False
BPSL0027, Number of predicted promoters -0,False
BPSL0028, Number of predicted promoters -0,False
BPSL0029, Number of predicted promoters -0,False
BPSL0030, Number of predicted promoters -1,False
BPSL0031, Number of predicted promoters -0,False
BPSL0032, Number of predicted promoters -0,False
BPSL0033, Number of predicted promoters -1,True
BPSL0034, Number of predicted promoters -0,False
BPSL0035, Number of predicted promoters -0,False
BPSL0036, Number of predicted promoters -2,False
BPSL0037, Number of predicted promoters -0,False
BPSL0038, Number of predicted promoters -1,False
BPSL0039, Number of predicted promoters -0,False
BPSL0040, Number of predicted promoters -0,True
BPSL0041, Number of predicted promoters -1,False
BPSL0042, Number of predicted promoters -1,False
BPSL0043, Number of predicted promoters -1,False
BPSL0044, Number of predicted promoters -0,False
BPSL0045, Number of predicted promoters -3,True
BPSL0046, Number of predicted promoters -0,False
BPSL0047, Number of predicted promoters -0,False
BPSL0048, Number of predicted promoters -0,False
